Title,LastName,FirstName,Country,Rating
GM,Carlsen,Magnus,Norway,2827
GM,Vachier-Lagrave,Maxime,France,2804
GM,Kramnik,Vladimir,Russia,2803
GM,Caruana,Fabiano,United States,2799
GM,Anand,Viswanathan,India,2794
GM,So,Wesley,United States,2792
GM,Nakamura,Hikaru,United States,2781
GM,Adams,Michael,England,2738
GM,Gelfand,Boris,Israel,2737
GM,Eljanov,Pavel,Ukraine,2734
GM,Vallejo Pons,Francisco,Spain,2717
GM,Almasi,Zoltan,Hungary,2707
GM,Vidit,Santosh Gujrathi,India,2702
GM,Naiditsch,Arkadij,Azerbaijan,2702
GM,Howell,David W L,England,2701
GM,Short,Nigel D,England,2698
GM,Rodshtein,Maxim,Israel,2695
GM,Sutovsky,Emil,Israel,2683
GM,Leko,Peter,Hungary,2679
GM,Kasimdzhanov,Rustam,Uzbekistan,2676
GM,Rapport,Richard,Hungary,2675
GM,Movsesian,Sergei,Armenia,2671
GM,Adhiban,B.,India,2670
GM,Hou,Yifan,China,2670
GM,Jones,Gawain C B,England,2668
GM,Riazantsev,Alexander,Russia,2666
GM,Akobian,Varuzhan,United States,2662
GM,Fressinet,Laurent,France,2657
GM,Granda Zuniga,Julio,Peru,2653
GM,Grandelius,Nils,Sweden,2653
GM,Sargissian,Gabriel,Armenia,2652
GM,Xiong,Jeffery,United States,2633
GM,Shirov,Alexei,Latvia,2630
GM,Sethuraman,S.P.,India,2618
GM,Bok,Benjamin,Netherlands,2615
GM,Hansen,Eric,Canada,2614
GM,L'Ami,Erwin,Netherlands,2608
GM,Sokolov,Ivan,Netherlands,2607
GM,Bogner,Sebastian,Switzerland,2600
GM,Aravindh,Chithambaram VR.,India,2593
GM,Tregubov,Pavel V.,Russia,2589
GM,Bindrich,Falko,Germany,2585
GM,Lenderman,Aleksandr,United States,2585
GM,Huschenbeth,Niclas,Germany,2585
GM,Svane,Rasmus,Germany,2583
GM,Deac,Bogdan-Daniel,Romania,2579
GM,Timman,Jan,Netherlands,2578
GM,Brunello,Sabino,Italy,2572
GM,Ju,Wenjun,China,2572
GM,Donchenko,Alexander,Germany,2570
GM,Pichot,Alan,Argentina,2565
GM,Sunilduth Lyna,Narayanan,India,2564
GM,Wagner,Dennis,Germany,2563
GM,Kosteniuk,Alexandra,Russia,2552
GM,Mekhitarian,Krikor Sevag,Brazil,2542
GM,Vishnu Prasanna,V.,India,2538
GM,Swapnil,S. Dhopade,India,2533
GM,Harika,Dronavalli,India,2526
IM,Lubbe,Nikolas,Germany,2515
GM,Olafsson,Helgi,Iceland,2512
GM,Perelshteyn,Eugene,United States,2511
IM,Lampert,Jonas,Germany,2511
IM,Batsiashvili,Nino,Georgia,2496
IM,Brown,Michael William,United States,2489
